session,user_id,action,stamp
989004ea,U001,view,2016-10-01 18:00:00
989004ea,U001,view,2016-10-01 18:01:00
989004ea,U001,view,2016-10-01 18:10:00
47db0370,U001,follow,2016-10-05 19:00:00
47db0370,U001,view,2016-10-05 19:10:00
47db0370,U001,follow,2016-10-05 20:30:00
5asfv583,U001,follow,2016-10-20 19:00:00
5asfv583,U001,view,2016-10-20 19:10:00
5asfv583,U001,follow,2016-10-20 20:30:00
536jdqk2,U001,view,2016-12-01 19:00:00
1gs7jacx,U001,view,2017-01-01 19:00:00
87b5725f,U002,follow,2016-10-01 12:00:00
87b5725f,U002,follow,2016-10-01 12:01:00
87b5725f,U002,follow,2016-10-01 12:02:00
9afaf87c,U002,view,2016-10-02 13:00:00
9afaf87c,U002,comment,2016-10-02 15:00:00
afsd4bag,U002,view,2016-10-25 15:00:00
675bhjba,U002,view,2016-10-30 15:00:00
fseg652d,U002,view,2016-11-01 15:00:00
7a3jc52d,U002,view,2016-12-01 15:00:00
ga43q56a,U003,view,2016-10-01 12:00:00
854jcq5m,U004,view,2016-10-01 12:00:00
