stamp,session,action,path,status
2016-12-30 00:56:08,647219c7,view,/regist/input,
2016-12-30 00:56:08,9b5f320f,view,/cart/input,
2016-12-30 00:57:04,9b5f320f,view,/regist/confirm,error
2016-12-30 00:57:56,9b5f320f,view,/regist/confirm,error
2016-12-30 00:58:50,9b5f320f,view,/regist/confirm,error
2016-12-30 01:00:19,9b5f320f,view,/regist/confirm,error
2016-12-30 00:56:08,8e9afadc,view,/contact/input,
2016-12-30 00:56:08,46b4c72c,view,/regist/input,
2016-12-30 00:57:31,46b4c72c,view,/regist/confirm,
2016-12-30 00:56:08,539eb753,view,/contact/input,
2016-12-30 00:56:08,42532886,view,/contact/input,
2016-12-30 00:56:08,b2dbcc54,view,/contact/input,
2016-12-30 00:57:48,b2dbcc54,view,/contact/confirm,error
2016-12-30 00:58:58,b2dbcc54,view,/contact/confirm,
2016-12-30 01:00:06,b2dbcc54,view,/contact/complete,
